Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
MG Coffee TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV45+544 parsaoran, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|MG Coffee|2.655385|98.8578323|Kedai Kopi|Tidak ada review|Tidak ada review
Garuda News TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jalan Horas No 11B, Tomok, Parsaoran, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0812-6964-4123|Alamat web tidak ditemukan|Garuda News|2.6578052|98.8560084|Perusahaan Media|Tidak ada review|Tidak ada review
Seblaksuki TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV35+HX5, Garoga, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0838-9559-1848|Alamat web tidak ditemukan|Seblak suki|2.6538729|98.8600468|Dapur Umum|Tidak ada review|Tidak ada review
Dcoffeerestotomok TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Horas Sumbersari, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0812-1959-5252|Alamat web tidak ditemukan|Dcoffeerestotomok|2.6537404|98.8598327|Kafe|Tidak ada review|Tidak ada review
UNIQDO HOMESTAY TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |parsaoran, Jalan sigambal, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0821-6601-8014|Alamat web tidak ditemukan|UNIQDO HOMESTAY|2.6454491|98.854413|Losmen|Tidak ada review|Tidak ada review
Batak Museum Pahatan pakaian suku Batak TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV26+725, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Batak Museum|2.6506312|98.8601052|Museum|Tidak ada review|Tidak ada review
SDNEGERI9TOMOK TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |JVX5+94G, Jl. Op. Soribuntu Sidabutar Tomok Parsaoran, Simanindo, Kabupaten Samosir, 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SD NEGERI 9 TOMOK|2.6484405|98.8578129|Sekolah Dasar|Tidak ada review|Tidak ada review
Lapo ptessa TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |JVW4+JMC, Tomok, parsaoran, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Lapo p.tessa|2.6465512|98.8566401|Komplek perumahan|Tidak ada review|Tidak ada review
Londut TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV25+MWH, Garoga, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Londut|2.6516757|98.8598533|Taman bermain|Tidak ada review|Tidak ada review
Gubuk Coffee TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Horas, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|https://instagram.com/gubukcoffee_?igshid=ZGUzMzM3NWJiOQ==|Gubuk Coffee|2.6528396|98.8617049|Kedai Kopi|Tidak ada review|Tidak ada review
TRENSIA Souvenir ShopTomok Toko Suvenir TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|0812-9119-4974|Alamat web tidak ditemukan|TRENSIA Souvenir Shop -Tomok|2.6527769|98.8616923|Toko Suvenir|Tidak ada review|Tidak ada review
Toko Wellington Sidabutar TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Toko Wellington Sidabutar|2.6526554|98.8617943|Toko|Tidak ada review|Tidak ada review
Toko Sydney Sidabutar TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV36+2QV, Jalan Horas Desa Tomok, Parsaoran, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0821-6686-7198|Alamat web tidak ditemukan|Toko Sydney Sidabutar|2.6526153|98.8619079|Butik|Tidak ada review|Tidak ada review
Jessy Cha Fashion Toko Pakaian TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Jessy Cha Fashion|2.6525755|98.8617678|Toko Pakaian|Tidak ada review|Tidak ada review
eta Samosi TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
PARNASIB ETNIK TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl makam raja sidabutar, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0831-6718-6954|http://www.instagram.com//instagram|PARNASIB ETNIK|2.6525133|98.861955|Toko Kerajinan Tangan|Tidak ada review|Tidak ada review
 Lavoda cafe TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Pulau Samosir No.3, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0822-9400-9600|Alamat web tidak ditemukan|Lavoda cafe|2.6524957|98.8621897|Restoran|Tidak ada review|Tidak ada review
Toko Yolivia LubisAldo Toko Suvenir TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV26+WQV, Jalan Besar Tomok Desa Tomok, Parsaoran, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0821-6326-8888|Alamat web tidak ditemukan|Toko Yolivia Lubis - Aldo|2.6523557|98.8619281|Toko Suvenir|Tidak ada review|Tidak ada review
aga Family ani Sinaga TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV35+CRG, Garoga, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Homestay Sinaga Family (Mak. Rani Sinaga)|2.6535744|98.8595898|Rumah wisata|Tidak ada review|Tidak ada review
