Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Togar Siboro PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPX5+824, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Togar Siboro|2.5982748|98.7075646|Rumah wisata|Tidak ada review|Tidak ada review
Indonesia PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Privasi PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
CV PESONA TRANS TRAVEL PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0822-1029-9711|Alamat web tidak ditemukan|CV PESONA TRANS TRAVEL|2.5960582|98.7073969|Biro Perjalanan dan Wisata|Tidak ada review|Tidak ada review
Hasiholan kost homestay PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |pangkas chael, Gang sebelah Jl. Dr. Hadrianus Sinaga, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Hasiholan kost & homestay|2.5995141|98.7049617|Rumah wisata|Tidak ada review|Tidak ada review
EMBAS AUDIO GOLAND PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga, Parlimutan, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-7042-2667|Alamat web tidak ditemukan|EMBAS AUDIO_GOLAND DEPARTMANT|2.5992809|98.7056823|Kantor Perusahaan|Tidak ada review|Tidak ada review
Stella Homestay PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-7745-3493|https://wa.me/6281377453493|Stella Homestay|2.599169|98.7052327|Motel|Tidak ada review|Tidak ada review
oogeMapsiggur PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Mimi Aesthetic Samosi PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPX4+J7Q, Sebelah UD Linsa Pintusona, Jl. Dr. Hadrianus Sinaga, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0812-6263-0722|Alamat web tidak ditemukan|Mimi Aesthetic Samosir|2.5990921|98.7057465|Dokter|Tidak ada review|Tidak ada review
Homestay 159 PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPX5+M22, Jl. Dr. Hadrianus Sinaga, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-7575-4159|Alamat web tidak ditemukan|Homestay 159|2.5991423|98.7075022|Kabin perkemahan|Tidak ada review|Tidak ada review
HARMONI SPA  SAUNA PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |JP35+28F, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|HARMONI SPA & SAUNA|2.6026315|98.7084526|Spa Kesehatan|Tidak ada review|Tidak ada review
Warung Desi PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+GWF, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|http://www.survive-giezag.org/|Warung Desi|2.5963192|98.7073087|Restoran|Tidak ada review|Tidak ada review
Homestay gibran waterfront city PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+GX2, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0822-6156-6953|Alamat web tidak ditemukan|Homestay gibran waterfront city panguruan|2.596144|98.7074275|Hotel|Tidak ada review|Tidak ada review
lost PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Amel Taylor PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga No.Kelurahan, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22390|0813-9610-2531|Alamat web tidak ditemukan|Amel Taylor|2.5825429|98.7126534|Penjahit|Tidak ada review|Tidak ada review
Pablo Simbolon Pusat Perbelanjaan PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+GW9, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pablo Simbolon|2.5962794|98.7073661|Pusat Perbelanjaan|Tidak ada review|Tidak ada review
Padang Taruan PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPPG+54, Huta Namora, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Padang Taruan|2.5854144|98.7252678|Tujuan Wisata|Tidak ada review|Tidak ada review
Googe Maps PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Parlumbanan PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPPF+F7R, Huta Namora, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Parlumbanan|2.5862266|98.7231328|Area Rekreasi Alam|Tidak ada review|Tidak ada review
GEREJA HKBP Pintu Sona PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPQ5+7Q8, Pulau, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GEREJA HKBP Pintu Sona|2.5881745|98.7094478|Gereja Lutheran|Tidak ada review|Tidak ada review
Minyak Kutus Kutus PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga No.86, Huta Namora, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-7084-7279|Alamat web tidak ditemukan|Minyak Kutus Kutus|2.5901983|98.7091457|Layanan Distribusi|Tidak ada review|Tidak ada review
Dinas Kebu Kepemuda PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPR5+3P5, Jl. Dr. Hadrianus Sinaga, Huta Namora, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Dinas Kebudayaan, Kepemudaan dan Olahraga Kabupaten Samosir|2.5901251|98.7093556|Kantor Pemda|Tidak ada review|Tidak ada review
HIZKIA HOMEST PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPR5+W28, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|HIZKIA HOMESTAY|2.5926888|98.7077138|Hostel|Tidak ada review|Tidak ada review
Arta Florist Toko Bunga PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0896-6666-8720|https://instagram.com/artaflorist?igshid=MzRlODBiNWFlZA==|Arta Florist|2.5930294|98.7084432|Toko Bunga|Tidak ada review|Tidak ada review
Kantor Kejaksaan Negeri Samosir PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+5XR, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|(0626) 20114|http://kejari-samosir.kejaksaan.go.id/|Kantor Kejaksaan Negeri Samosir|2.5954995|98.7073972|Kantor Perusahaan|Tidak ada review|Tidak ada review
Esteh Solo Pangururan Tutup sementara PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. FL Tobing, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0882-0068-33840|https://linktr.ee/estehsolo_pangururan|Esteh Solo Pangururan|2.5954756|98.7070811|Kedai Teh|Tidak ada review|Tidak ada review
Jaya Motor Toko Elektronik PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+3W4, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-6203-0515|Alamat web tidak ditemukan|Jaya Motor|2.5951465|98.7073215|Toko Elektronik|Tidak ada review|Tidak ada review
Toko Sandy PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+4VQ, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Toko Sandy|2.5953327|98.7072443|Toko Swalayan|Tidak ada review|Tidak ada review
FOTO COPY BENTRO PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|FOTO COPY BENTRO|2.5951321|98.7074671|Jenis tempat tidak ditemukan|Tidak ada review|Tidak ada review
SMA Negeri 1 Pangururan PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|(0626) 20305|http://www.sman1pangururan.sch.id/|SMA Negeri 1 Pangururan|2.5950706|98.7071521|Sekolah menengah|Tidak ada review|Tidak ada review
Indah Tailor PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW5+22C, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Indah Tailor|2.5950591|98.707512|Penjahit|Tidak ada review|Tidak ada review
Taman Penitipan Anak Sarah PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+JVX, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|"Taman Penitipan Anak ""Sarah"""|2.5966186|98.7072497|Tempat Penitipan Anak|Tidak ada review|Tidak ada review
RM AMIN CHINESEFOOD PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jln. DR. Hardianus Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0823-6253-6699|Alamat web tidak ditemukan|RM. AMIN CHINESE FOOD|2.5964483|98.7072758|Rumah Makan|Tidak ada review|Tidak ada review
 Hadrianus Sinaga PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Pintusona na PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
olang PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Data peta 2025 PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
Kirim Masukan Produk PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
